id	_⅒_kg_of_mascarpone	_⅒_kg_of_parmesan	_⅒_l_of_olive_oil	_⅕_kg_of_onions	_⅓_kg_de_riz_at_risotto_arborio	_¼_tspto_csodium_bicarbonate	_¼_tspto_cflower	_	_¼_l_of_whole_milk	_¼_l_of_syrup_d_ubabage	_¼_l_of_water	_¼_of_the_milk	_¼_l_of_milk	_¼_roman_salad	_¾_l_of_water	_¼_boot_of_chives	_¼_lemon_juice	_¼_pomme_granny_smith	_¾_pot_of_oil_yogurt	_¾_can_d_uile	_¼_l_of_half_skimmed_milk	_¼_lait	_¼_tspto_cespelette_pepper	_¼_green_pepper	_¼_jar_of_crème_fraîche	_¼_bouquet_of_dill	_¼_dill_boot	_¼_tspto_cof_salt_or_fine_salt	_¼_tspto_cpepper	_¼_glass_of_oil	_¼_glass_of_milk	_¼_boot_of_parsley	_¼_bouquet_of_parsley	_¼_boot_of_flat_parsley	_g	_¼_red_onion	_¼_red_cabbage	_¼_white_cabbage	_¼_ball_of_celery_rave	_¼_onion	_¼_l_of_bordeaux_red_wine	_¼_zucchini_cut_into_small_dice	_¼_red_pepper_cut_into_small_dice	_¼_melon	_¼_l_cane_sugar	_¼_maroilles	_¼_maroilles_fauquet	_¼_zest_of_combava_or_lime	_¼_fresh_coriander_boot	_¼_tspto_cof_provence_herbs	_¼_pineapple	_¼_pack_of_filo_pastry	_¼_l_of_liquid_cream	_¼_lemongrass_stick	_¾_l_of_lemonade	_¼_jus_d_orange	_¼_courgette	_¼_tspto_cmoulin_pepper	_¼_c_to_lemon_juice	_¾_l_of_red_wine
1921	0	0	0	0	0	0	0	125_g_white_wheat_flour__t55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1959	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0
2002	0	0	0	0	0	0	0	white_wheat_flour__t55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0
2017	0	0	0	0	0	0	0	175_g_white_wheat_flour__t55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0
2035	0	0	0	0	0	0	0	orange__or_lemon__juice_of_1_divide_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2135	0	0	0	0	0	0	0	2_tspto_swhite_wheat_flour__t55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0
2169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0
2225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0
2226	0	0	0	0	0	0	0	250_g_white_wheat_flour__t55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2246	0	0	0	0	0	0	0	375_g_of_wheat_flour__t45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2251	0	0	0	0	0	0	0	250_g_white_wheat_flour__t55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2255	0	0	0	0	0	0	0	50_g_white_wheat_flour__t55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2265	0	0	0	0	0	0	0	100_g_semicomplete_wheat_flour__t110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N_S
2373	0	0	0	0	0	0	0	0	0	0	N_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2378	0	0	0	0	0	0	0	80_g_white_wheat_flour__t55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2383	0	0	0	0	0	0	0	120_g_white_wheat_flour__t55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
